Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-08-30,335.6288757324219,359.9722900390625,335.62188720703125,359.3863220214844,9405837754,0,0
2020-08-31,359.4813537597656,367.6227416992188,353.0061340332031,364.46630859375,10701401203,0,0
2020-09-01,364.2943115234375,408.8492126464844,361.7293395996094,400.0605163574219,15818502313,0,0
2020-09-02,400.0235900878906,403.5294189453125,358.5469055175781,371.4205932617188,16621106299,0,0
2020-09-03,371.5889587402344,379.8814697265625,321.8579406738281,325.7462158203125,16573848101,0,0
2020-09-04,324.9013671875,339.7007141113281,315.04571533203125,327.961669921875,14146900299,0,0
2020-09-05,327.7904052734375,332.9718933105469,267.59100341796875,283.20660400390625,25240781804,0,0
2020-09-06,283.2695007324219,303.8966369628906,269.5065002441406,298.57379150390625,23357554145,0,0
2020-09-07,298.64813232421875,302.5364685058594,275.9922790527344,298.39703369140625,18414194424,0,0
2020-09-08,298.8444519042969,300.8655700683594,279.4403381347656,286.908447265625,15289850275,0,0
2020-09-09,287.0978088378906,304.20263671875,282.0359802246094,297.4625244140625,12325096566,0,0
2020-09-10,297.7330322265625,316.9781494140625,297.4639892578125,311.2669677734375,26569711381,0,0
2020-09-11,311.281005859375,317.8986511230469,300.4757995605469,316.2910461425781,23041545236,0,0
2020-09-12,316.2064514160156,327.105712890625,310.4808959960937,326.8057861328125,11222120232,0,0
2020-09-13,327.08953857421875,328.305419921875,299.0843811035156,308.7776184082031,12674687734,0,0
2020-09-14,308.8870544433594,323.57696533203125,302.1135559082031,317.894287109375,14776770245,0,0
2020-09-15,317.7975158691406,321.1727600097656,306.8281555175781,307.9979858398437,13625913565,0,0
2020-09-16,307.9176025390625,314.9836120605469,301.39227294921875,309.9315490722656,13647045556,0,0
2020-09-17,309.9768371582031,332.5660095214844,309.3152770996094,328.2874755859375,16792915786,0,0
2020-09-18,328.5560607910156,330.5460510253906,317.99334716796875,324.6227722167969,11915495697,0,0
2020-09-19,324.3500671386719,326.9308776855469,319.8764038085937,325.636962890625,9332590982,0,0
2020-09-20,325.6822204589844,325.6822204589844,310.05377197265625,313.2079162597656,10375916215,0,0
2020-09-21,313.5010986328125,316.7718811035156,286.2121276855469,290.50347900390625,14787778938,0,0
2020-09-22,290.4505615234375,294.5160827636719,287.3070373535156,294.2539367675781,10875404210,0,0
2020-09-23,294.3558654785156,295.7074890136719,272.4282531738281,275.0165405273437,10334621289,0,0
2020-09-24,275.044677734375,301.0646057128906,272.9710388183594,299.2693786621094,11530724397,0,0
2020-09-25,299.2749328613281,307.80743408203125,291.4245300292969,302.77996826171875,10535914431,0,0
2020-09-26,303.0975646972656,306.03143310546875,299.29888916015625,305.1757202148437,9488671801,0,0
2020-09-27,304.8507080078125,311.2678527832031,300.1283264160156,307.12371826171875,9853830029,0,0
2020-09-28,307.1146545410156,314.64910888671875,303.957763671875,303.975341796875,10364443705,0,0
2020-09-29,303.9961853027344,307.1943664550781,301.42626953125,306.56573486328125,8760605094,0,0
2020-09-30,306.5477905273437,307.97515869140625,301.8897705078125,307.11492919921875,8337353001,0,0
2020-10-01,307.0998229980469,313.9323425292969,295.8178405761719,300.7781982421875,10525172545,0,0
2020-10-02,300.7687683105469,302.2077941894531,287.85113525390625,295.750732421875,11049038368,0,0
2020-10-03,295.7251281738281,300.0993347167969,294.345947265625,296.4240417480469,7339383711,0,0
2020-10-04,296.382080078125,302.41473388671875,294.782958984375,301.3033752441406,7942564608,0,0
2020-10-05,301.23846435546875,303.076171875,298.6355895996094,300.5084533691406,8426139525,0,0
2020-10-06,300.3902893066406,301.50299072265625,288.4852294921875,290.5473022460937,9796069303,0,0
2020-10-07,290.6073608398437,291.1333312988281,286.1447448730469,290.7761535644531,8955761474,0,0
